address,city,location
河北保定荷花大观园,河北,"115.999431,38.921724"
河北秦皇岛鸽子窝公园,河北,"119.526688,39.836216"
河北邯郸广府古城,河北,"114.730269,36.700889"
河北保定野三坡,河北,"115.389176,39.678151"
河北秦皇岛山海关,河北,"119.775187,39.978882"
河北邯郸响堂山石窟,河北,"114.539150,36.625849"
河北秦皇岛南戴河,河北,"119.416994,39.794057"
河北邯郸京娘湖,河北,"113.954683,36.890509"
河北石家庄抱犊寨,河北,"114.277474,38.087254"
河北唐山清东陵,河北,"117.682700,40.173542"
河北邯郸丛台公园,河北,"114.491085,36.613869"
河北保定白石山世界地质公园,河北,"114.648207,39.249969"
河北石家庄隆兴寺,河北,"114.582550,38.144315"
河北唐山月岛,河北,"118.879550,39.167673"
河北邯郸娲皇宫,河北,"113.618874,36.639939"
河北唐山开滦国家矿山公园,河北,"118.200471,39.621563"
河北石家庄赵州桥,河北,"114.567792,38.011754"
河北石家庄河北博物院,河北,"114.522656,38.040616"
河北唐山景忠山,河北,"118.202964,40.189198"
河北秦皇岛老龙头,河北,"119.792804,39.972339"
河北石家庄驼梁风景区,河北,"113.816716,38.723815"
河北保定百里峡,河北,"115.386064,39.683056"
河北唐山滦州古城,河北,"118.757937,39.742639"
河北秦皇岛北戴河,河北,"119.484490,39.834912"
